,Brand,Model,Type,Seats,Price,Fuel,Transmission,Location
458,Maruti,Suzuki Swift,Hatchback,5 Seater,1013000,Petrol,Manual,Noida
459,Tata,Altroz,Hatchback,5 Seater,756000,Petrol,Manual,Noida
460,Maruti,Suzuki Celerio,Hatchback,5 Seater,606000,Petrol,Manual,Noida
461,Hyundai,Creta,SUV,5 Seater,1279000,Petrol,Manual,Noida
462,Renault,Triber,MPV,7 Seater,695000,Petrol,Manual,Noida
463,Renault,Kwid,Hatchback,5 Seater,582000,Petrol,Manual,Noida
464,Maruti,Suzuki Ciaz,Sedan,5 Seater,1209000,Petrol,Manual,Noida
465,Renault,Kiger,SUV,5 Seater,695000,Petrol,Manual,Noida
466,Toyota,Glanza,Hatchback,5 Seater,883000,Petrol,Manual,Noida
467,Hyundai,i20 N Line,Hatchback,5 Seater,1121000,Petrol,Manual,Noida
468,Nissan,Magnite (2020-2024),SUV,5 Seater,865000,Petrol,Automatic,Noida
469,Honda,City,Sedan,5 Seater,1429000,Petrol,Manual,Noida
470,Hyundai,Venue N-Line,SUV,5 Seater,1395000,Petrol,Manual,Noida
471,Maruti,Suzuki New Grand Vitara,SUV,5 Seater,2361000,Petrol,Automatic,Noida
472,Hyundai,Venue,SUV,5 Seater,900000,Petrol,Manual,Noida
473,Hyundai,Verna,Sedan,5 Seater,1510000,Petrol,Manual,Noida
474,Tata,Harrier,SUV,5 Seater,2009000,Diesel,Manual,Noida
475,Hyundai,Exter,SUV,5 Seater,686000,Petrol,Manual,Noida
476,Toyota,Rumion,SUV,7 Seater,1321000,CNG,Manual,Noida
477,Kia,Sonet,SUV,5 Seater,1820000,Diesel,Automatic,Noida
478,Kia,Seltos,SUV,5 Seater,1839000,Petrol,Manual,Noida
479,Honda,Elevate,SUV,5 Seater,1794000,Petrol,Automatic,Noida
480,Kia,Carens,SUV,7 Seater,1398000,Petrol,Manual,Noida
481,Toyota,Urban Cruiser Hyryder,SUV,5 Seater,1474000,Petrol,Manual,Noida
482,Skoda,Slavia,Sedan,5 Seater,1598000,Petrol,Manual,Noida
483,Skoda,Kushaq,SUV,5 Seater,2185000,Petrol,Automatic,Noida
484,Maruti,Suzuki Fronx,SUV,5 Seater,992000,Petrol,Manual,Noida
485,Tata,Safari,SUV,7 Seater,2941000,Diesel,Automatic,Noida
486,Hyundai,i20,Hatchback,5 Seater,883000,Petrol,Manual,Noida
487,Maruti,Suzuki S-Presso,SUV,5 Seater,640000,Petrol,Automatic,Noida
488,Maruti,Suzuki Ignis,Hatchback,5 Seater,670000,Petrol,Manual,Noida
489,MG,ZS EV,SUV,5 Seater,2198000,Electric,Automatic,Noida
490,Hyundai,Creta N Line,SUV,5 Seater,1937000,Petrol,Manual,Noida
491,Tata,Tiago,Hatchback,5 Seater,720000,Petrol,Manual,Noida
492,Toyota,Urban Cruiser Taisor,SUV,5 Seater,971000,Petrol,Manual,Noida
493,Tata,Tigor,Compact,5 Seater,874000,CNG,Manual,Noida
494,Maruti,Suzuki XL6,SUV,6 Seater,1335000,Petrol,Manual,Noida
495,Tata,Curvv,SUV,5 Seater,1459000,Petrol,Automatic,Noida
496,Hyundai,Creta Electric,SUV,5 Seater,2574000,Electric,Automatic,Noida
497,Hyundai,Alcazar,SUV,7 Seater,1717000,Petrol,Manual,Noida
498,Nissan,Magnite,SUV,5 Seater,824000,Petrol,Manual,Noida
499,Honda,Amaze,Sedan,5 Seater,926000,Petrol,Manual,Noida
500,Hyundai,Aura,Sedan,5 Seater,871000,CNG,Manual,Jaipur
501,Hyundai,Creta,SUV,5 Seater,1823000,Petrol,Manual,Jaipur
502,Hyundai,Exter,SUV,5 Seater,910000,Petrol,Manual,Jaipur
503,Hyundai,Grand i10 Nios,Hatchback,5 Seater,900000,Petrol,Automatic,Jaipur
504,Hyundai,i20,Hatchback,5 Seater,917000,Petrol,Manual,Jaipur
505,Hyundai,Venue,SUV,5 Seater,1312000,Petrol,Manual,Jaipur
506,Hyundai,Verna,Sedan,5 Seater,1559000,Petrol,Manual,Jaipur
507,Maruti,Suzuki Baleno,Hatchback,5 Seater,865000,Petrol,Manual,Jaipur
508,Maruti,Suzuki Celerio,Hatchback,5 Seater,703000,Petrol,Manual,Jaipur
509,Maruti,Suzuki Ciaz,Sedan,5 Seater,1088000,Petrol,Manual,Jaipur
510,Maruti,Suzuki Eeco,Minivan,5 Seater,650000,Petrol,Manual,Jaipur
511,Maruti,Suzuki Fronx,SUV,5 Seater,867000,Petrol,Manual,Jaipur
512,Maruti,Suzuki Ignis,Hatchback,5 Seater,678000,Petrol,Manual,Jaipur
513,Maruti,Suzuki New Grand Vitara,SUV,5 Seater,1734000,CNG,Manual,Jaipur
514,Maruti,Suzuki Swift,Hatchback,5 Seater,749000,Petrol,Manual,Jaipur
515,Maruti,Suzuki Wagon R,Hatchback,5 Seater,689000,Petrol,Manual,Jaipur
516,Maruti,Suzuki XL6,SUV,6 Seater,1460000,CNG,Manual,Jaipur
517,Tata,Altroz,Hatchback,5 Seater,772000,Petrol,Manual,Jaipur
518,Tata,Harrier,SUV,5 Seater,2270000,Diesel,Manual,Jaipur
519,Tata,Curvv,SUV,5 Seater,1613000,Petrol,Manual,Jaipur
520,Tata,Curvv EV,SUV,5 Seater,1860000,Electric,Automatic,Jaipur
521,Tata,Nexon,SUV,5 Seater,1031000,Petrol,Manual,Jaipur
522,Tata,Nexon EV,SUV,5 Seater,1604000,Electric,Automatic,Jaipur
523,Tata,Punch,SUV,5 Seater,723000,Petrol,Manual,Jaipur
524,Tata,Punch EV,SUV,5 Seater,1057000,Electric,Automatic,Jaipur
525,Tata,Safari,SUV,6 Seater,1867000,Diesel,Manual,Jaipur
